site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno
S OF GRAPE,16010405,6,1,MCB-U,08/16/2011,12:21,08/16/2011,12:36,LG,A22A.RS,D,2,,5.0,M-,200,0,15,5518,5432,194,,28.00,,60.00,,25,,15,715883,4431565,71590.43135,715883,4431565,2,1.0,26,,26.9,,3.00,,746,,0.27,,5.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,125,,1,1,4,SVCP,510,T,1,1,,,,,,,0,2708
CHAIN LAKE,16009159,6,1,BWC-S,09/18/2008,09:47,09/19/2008,09:26,LG,F112A.RS,M,3,,7.0,M-,,23,39,,,,,,,,,,,15,730083,4445915,73010.44570,730083,4445915,2,2.0,21,,20.0,,2.30,,476,,0.00,,3.0,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,31,,1,1,2,SVCP,60,T,1,1,,,,,,,0,2704
MEYERS DITCH,16009347,6,1,BWC-S,08/29/2008,12:35,08/29/2008,12:50,LG,F50A.RS,D,2,,5.0,M-,200,0,15,5259,5270,170,,31.00,,60.00,,25,,15,755883,4475365,75590.47515,755883,4475365,2,2.0,18,,27.3,,0.70,,694,,0.00,,4.5,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,145,,1,1,134,SVCP,230,T,1,1,,,,,,,0,2704
COON HOLLOW,16009504,6,0,SCB,08/10/2009,13:25,08/10/2009,13:40,LG,D11.RS,D,2,,5.0,M-,200,0,15,5597,5510,190,,29.00,,60.00,,25,,15,766683,4490465,76670.49025,766683,4490465,2,1.0,19,,27.5,,1.50,,748,,0.20,,6.8,,,,,,,0,3,1,0,0,0,0,0,0,0,,0,,131,,1,1,36,SVCP,350,T,1,9,,,,,,,0,2706
L powerton,16007885,6,1,BWC-S,09/02/2004,10:07,09/02/2004,10:22,LG,F20A.RS,D,2,,5.0,M-,200,0,15,4574,4500,180,,25.00,,60.00,,25,,15,781034,4494215,78105.49400,781034,4494215,1,1.0,22,,25.6,,1.50,,565,,0.00,,5.7,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,72,,1,1,39,SVCP,300,T,1,1,,,,,,,0,2401
PEORIA TWR,16008085,6,2,TWZ,08/01/2005,09:15,08/01/2005,09:30,LG,I157.8V,D,2,,5.0,M-,200,0,15,6325,5940,165,,36.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,22,,28.3,,1.00,,890,,0.25,,6.3,,,,,,,0,4,0,0,0,0,0,1,0,0,,0,,167,,1,2,102,SVCP,390,T,1,1,, ,  ,          I,,,0,2501
CLEAR LK MC,16008194,6,0,MCB-U,09/26/2005,10:10,09/26/2005,10:25,LG,D5.RS,D,3,,5.0,M-,200,0,15,5503,5550,185,,30.00,,60.00,,25,,15,758883,4479265,75890.47905,758883,4479265,2,1.0,22,,23.4,,0.60,,802,,0.20,,6.6,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,160,,1,1,4,SVCP,440,T,,1,925.00, ,  ,          I,,,0,2501
MEYERS DITCH,16012775,6,1,BWC-S,06/15/2016,09:29,06/15/2016,09:44,LG,F136A.RS,D,1,,5.0,M-,200,0,15,5045,4875,195,,25.00,,60.00,,25,,15,755333,4474865,75535.47485,755333,4474865,2,1.0,16,,27.7,,0.90,,639,,0.12,,4.4,,,,,,,0,2,1,0,0,0,1,0,0,0,,0,,63,,1,1,15,SVCP,540,T,1,1,,,,,,,0,2714
RM 152,16012918,6,0,MCB-U,08/11/2016,09:41,08/11/2016,09:56,LG,D1.RS,D,2,,5.0,M-,200,0,15,5449,5460,210,,26.00,,60.00,,25,,15,782684,4495715,78270.49570,782684,4495715,2,1.0,25,,30.5,,1.40,,694,,,5,7.2,,,,,,,0,2,0,0,0,0,1,0,0,0,,0,,120,,1,1,6,SVCP,550,T,1,2,,,,,,,0,2714
N LILLY LAKE,16010407,6,0,SCB,08/17/2011,11:39,08/17/2011,11:54,LG,D22.RS,D,2,,5.0,M-,200,0,15,5105,5070,195,,26.00,,60.00,,25,,15,715533,4431165,71555.43095,715533,4431165,2,1.0,17,,27.0,,1.00,,663,,0.05,,4.5,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,36,,1,1,1,SVCP,490,T,1,1,,,,,,,0,2708
TREADWAY,16011790,6,0,BWC-S,09/23/2014,09:13,09/23/2014,09:28,LG,D34.RS,D,3,,5.0,M-,200,0,15,4344,4400,200,,22.00,,60.00,,25,,15,721383,4438665,,721383,4438665,2,1.0,36,,19.2,,1.40,,594,,0.01,,4.1,,,,,,,0,2,0,0,0,0,0,0,1,0,,0,,266,,1,1,68,SVCP,40,T,1,77,,,,,,,0,2711
EDWARD STATI,16009135,6,0,MCB-U,08/05/2008,12:00,08/05/2008,12:15,LG,D34.RS,D,2,,5.0,M-,200,0,15,5578,5550,185,,30.00,,60.00,,25,,15,782684,4499515,78270.49930,782684,4499515,2,1.0,16,,27.0,,1.00,,758,,0.19,,,0,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,7401,,1,1,42,SVCP,200,T,1,1,,,,,,,0,2704
MEYERS DITCH,16013666,6,1,BWC-S,09/27/2018,14:23,09/27/2018,14:38,LG,F132A.RS,D,3,,5.0,M-,200,0,15,4301,4000,200,,20.00,,60.00,,25,,15,756533,4476165,,756533,4476165,2,1.0,18,,21.9,,1.00,,548,,0.00,,13.8,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,84,,1,1,17,SVCP,606,T,,1,2205.00,,,,,,0,2716
SUGAR CREEK,16014562,6,0,SCB,08/20/2020,09:09,08/20/2020,09:24,LG,D23.RS,D,2,,5.0,M-,200,0,15,5617,5600,200,,28.00,,60.00,,25,,15,722483,4440765,,722483,4440765,2,1.0,22,,27.7,,1.00,,752,,0.16,,6.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,316,,1,1,14,SVCP,580,T,1,1,, ,  ,    M,,,0,2718
LAKE PEKIN,16012685,6,0,BWC-S,09/20/2016,10:51,09/20/2016,11:06,LG,D25.RS,D,3,,7.0,M-,200,0,15,4616,4600,200,,23.00,,60.00,,25,,15,783684,4500315,78370.50030,783684,4500315,2,1.0,25,,24.5,,1.30,,596,,0.00,,6.4,,,,,,,0,2,1,0,0,0,0,0,1,0,,0,,60,,1,1,35,SVCP,156,T,,1,18.00,,,,,,0,2714
BIG LAKE,16010702,6,1,BWC-S,06/19/2012,07:40,06/20/2012,07:01,LG,F69A.RS,M,1,,5.0,M-,,23,21,,,,,,,,,,,15,759483,4482015,75950.48180,759483,4482015,2,1.0,7,,25.5,,0.50,,723,,0.01,,5.3,,,,,,,0,1,0,0,0,0,0,0,0,0,,2,,19840,,1,2,15,SVCP,30,T,1,250,,,,,,,0,2709
MATANZAS,16010791,6,1,BWC-S,08/16/2012,11:21,08/16/2012,11:36,LG,F155A.RS,D,2,,5.0,M-,200,0,15,4390,4000,200,,20.00,,60.00,,25,,15,745933,4459415,74595.45920,745933,4459415,2,1.0,,5,24.7,,0.80,,536,,0.01,,8.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,88,,1,1,4,SVCP,470,T,1,1,,,,,,,0,2709
MATANZAS,16008162,6,1,BWC-S,08/10/2005,08:10,08/10/2005,08:25,LG,F367A.RS,D,2,,5.0,M-,250,0,15,4257,4200,140,,30.00,,60.00,,25,,15,746433,4459015,74645.45880,746433,4459015,2,1.0,18,,29.2,,1.00,,471,,0.00,,4.9,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,159,,1,1,17,SVCP,510,T,1,1,, ,  ,          I,,,0,2501
BAR ISLE,16014193,6,0,SCB,09/16/2019,09:52,09/16/2019,10:07,LG,D23.RS,D,3,,5.0,M-,200,0,15,4967,4860,180,,27.00,,60.00,,25,,15,714983,4431115,,714983,4431115,2,1.0,26,,26.4,,3.00,,647,,0.39,,6.6,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,66,,1,1,45,SVCP,622,T,,1,2410.00, ,  ,    M,,,0,2717
Peoria TWZ,16013069,6,2,TWZ,08/10/2017,10:40,08/10/2017,10:55,LG,I157.8Va,D,2,,5.0,M-,200,0,15,5190,5040,210,,24.00,,60.00,,25,,16,277612,4500954,,785074,4503093,2,1.0,25,,25.7,,3.40,,693,,0.34,,6.3,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,469,,1,2,75,SVCP,430,T,1,1,,,,,,,0,2715
GRAPE/BAR,16013258,6,0,SCB,07/12/2017,12:15,07/12/2017,12:30,LG,D24.RS,D,1,,5.0,M-,200,0,15,5427,5510,190,,29.00,,60.00,,25,,15,715933,4431265,,715933,4431265,2,1.0,20,,28.8,,3.00,,702,,0.27,,6.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,99,,1,1,1,SVCP,580,T,1,1,,,,,,,0,2715
COON HOLLOW,16009136,6,0,MCB-U,08/06/2008,09:15,08/06/2008,09:30,LG,D2.RS,D,2,,5.0,M-,200,0,15,5759,5700,190,,30.00,,60.00,,25,,15,766283,4490315,76630.49010,766283,4490315,2,2.0,12,,28.9,,0.80,,766,,0.09,,,0,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,121,,1,1,28,SVCP,190,T,1,1,,,,,,,0,2704
BAR ISLAND,16012563,6,0,SCB,07/21/2016,12:46,07/21/2016,13:01,LG,D24.RS,D,1,,5.0,M-,200,0,15,5144,5060,220,,23.00,,60.00,,25,,15,714533,4430965,71455.43095,714533,4430965,1,1.0,5,,29.4,,1.00,,647,,0.50,,5.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,29,,1,1,1,SVCP,570,T,1,2,,,,,,,0,2714
PANTHER SL,16009833,6,1,BWC-S,10/14/2009,08:35,10/14/2009,08:50,LG,F108A.RS,D,3,,5.0,M-,200,0,15,3883,3800,190,,20.00,,60.00,,25,,15,726733,4445665,72675.44545,726733,4445665,2,1.0,29,,7.7,,1.20,,627,,0.15,,10.2,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,24,,1,1,4,SVCP,340,T,1,1,,,,,,,0,2706
Lily LK,16009980,6,1,BWC-S,10/19/2010,10:06,10/19/2010,10:21,LG,F250A.RS,D,3,,5.0,M-,200,0,15,4681,4600,200,,23.00,,60.00,,25,,15,712733,4428515,71275.42830,712733,4428515,2,1.0,24,,16.0,,1.20,,723,,0.00,,8.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,80,,1,1,2,SVCP,490,T,1,1,,,,,,,0,2707
LIVERPOOL D,16010643,6,1,BWC-S,10/13/2011,14:06,10/13/2011,14:21,LG,F134A.RS,D,3,,5.0,M-,200,0,15,4308,4400,200,,22.00,,60.00,,25,,15,755933,4475265,75595.47505,755933,4475265,2,1.0,20,,20.5,,2.10,,573,,0.01,,4.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,111,,1,2,14,SVCP,490,T,,1,1060.00,,,,,,0,2708
MEYERS DITCH,16011728,6,1,BWC-S,08/13/2014,13:28,08/14/2014,07:27,LG,F132A.RS,M,2,,5.0,M-,,17,59,,,,,,,,,,,15,756233,4475715,,756233,4475715,2,1.0,9,,26.7,,1.00,,706,,0.05,,6.3,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1536,,1,1,64,SVCP,20,T,1,1,,,,,,,0,2711
CLEAR LAKE,16006012,6,0,BWC-O,06/20/2001,07:30,06/21/2001,07:15,LG,X1.RS,X,1,,5.0,M-,,23,45,,,,,,,,,,,15,759633,4478265,75965.47805,759633,4478265,1,0.2,25,,25.5,,2.30,,,5,0.00,,8.8,,15.3,,,,,0,1,0,0,0,0,0,0,0,0,,0,2,34,450,2,1,12,SVCP,310,,1,1,,,,,450,12,0,2101
towhead,16007930,6,0,SCB,09/24/2004,10:10,09/24/2004,10:25,LG,D34.RS,D,3,,5.0,M-,200,0,15,5102,4960,160,,31.00,,60.00,,25,,15,749583,4467015,74960.46680,749583,4467015,2,2.0,13,,23.6,,0.70,,701,,0.05,,6.8,,,,,,,0,1,0,0,0,0,0,0,0,1,,0,,118,,1,1,10,SVCP,377,T,,1,523.00,,,,,,0,2401
LILLY LAKE,16008158,6,1,BWC-S,08/09/2005,11:20,08/09/2005,11:35,LG,F269A.RS,D,2,,5.0,M-,250,0,15,6822,6650,175,,38.00,,60.00,,25,,15,712733,4429115,71275.42890,712733,4429115,2,1.0,15,,29.7,,1.00,,952,,0.00,,8.5,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,64,,1,1,7,SVCP,550,T,1,1,, ,  ,          I,,,0,2501
BATH FIXED,16008190,6,2,SCB,09/21/2005,09:10,09/21/2005,09:25,LG,I113.0T,D,3,,5.0,M-,200,0,15,5419,5400,180,,30.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,28,,23.4,,1.00,,784,,0.07,,6.6,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,80,,1,1,47,SVCP,380,T,1,1,, ,  ,          I,,,0,2501
RM 140,16013324,6,0,MCB-U,08/22/2017,09:35,08/22/2017,09:50,LG,D4.RS,D,2,,5.0,M-,200,0,15,5458,5250,210,,25.00,,60.00,,25,,15,766533,4490515,,766533,4490515,2,1.0,36,,26.9,,2.60,,734,,0.18,,5.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,70,,1,1,1,SVCP,530,T,1,1,,,,,,,0,2715
RM 140,16013324,6,0,MCB-U,08/22/2017,09:35,08/22/2017,09:50,LG,D4.RS,D,2,,5.0,M-,200,0,15,5458,5250,210,,25.00,,60.00,,25,,15,766533,4490515,,766533,4490515,2,1.0,36,,26.9,,2.60,,734,,0.18,,5.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,70,,1,1,10,SVCP,440,T,1,1,,,,,,,0,2715
BATH CHUTE,16010873,6,0,SCB,10/01/2012,08:57,10/01/2012,09:12,LG,D19.RS,D,3,,5.0,M-,200,0,15,5298,5280,220,,24.00,,60.00,,25,,15,738033,4448715,73805.44850,738033,4448715,2,1.0,20,,18.8,,2.20,,823,,0.13,,9.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,30,,1,1,15,SVCP,519,T,,1,1341.00,,,,,,0,2709
BATH CHUTE,16011269,6,1,SCB,08/22/2013,11:55,08/22/2013,12:10,LG,C30A.RS,D,2,,5.0,M-,200,0,15,6062,6090,210,,29.00,,60.00,,25,,15,743583,4455965,74360.45575,743582,4455965,2,1.0,24,,28.6,,1.60,,824,,0.09,,4.7,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,94,,1,1,5,SVCP,520,T,1,2,,,,,,,0,2710
Bar Island,16009430,6,0,SCB,10/03/2008,11:48,10/03/2008,12:03,LG,D9.RS,D,3,,7.0,M-,200,0,15,3905,4000,200,,20.00,,60.00,,25,,15,714383,4430865,71440.43065,714383,4430865,2,2.0,33,,19.0,,1.10,,484,,0.23,,6.5,,,,,,,0,3,1,0,0,0,0,0,1,0,,0,,19,,1,1,15,SVCP,98,T,,1,8.00,,,,,,0,2704
TOWHEAD,16009809,6,0,SCB,10/06/2009,13:54,10/08/2009,08:12,LG,HL3.RS,HL,3,,5.0,M-,,42,18,,,,,,,,,,,15,749233,4466515,74925.46630,749233,4466515,2,2.0,22,,16.3,,1.70,,805,,0.20,,7.7,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,18,,1,1,16,SVCP,300,T,1,1,,,,,,,0,2706
BATHE CHUTE,16008186,6,0,SCB,08/03/2005,09:25,08/03/2005,09:40,LG,D14.RS,D,2,,5.0,M-,200,0,15,6355,5950,170,,35.00,,60.00,,25,,15,743483,4455665,74350.45545,743483,4455665,2,1.0,28,,28.9,,1.00,,880,,0.05,,7.0,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,72,,1,1,43,SVCP,480,T,1,1,, ,  ,          I,,,0,2501
MATANZAS,16009235,6,0,BWC-S,06/26/2008,13:34,06/26/2008,13:49,LG,D26.RS,D,1,,5.0,M-,200,0,15,4994,5000,200,,25.00,,60.00,,25,,15,747083,4460415,74710.46020,747083,4460415,2,1.0,45,,27.6,,2.10,,629,,0.02,,19.2,,,,,,,0,2,0,0,1,0,0,0,1,0,,0,,522,,1,1,27,SVCP,110,T,1,1,,,,,,,0,2704
MACKINAW RIV,16010648,6,0,MCB-U,10/18/2011,10:29,10/18/2011,10:44,LG,D5.RS,D,3,,5.0,M-,200,0,15,4979,4945,215,,23.00,,60.00,,25,,15,776633,4494315,77665.49410,776633,4494315,2,1.0,31,,15.3,,2.50,,818,,0.12,,8.3,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,61,,1,2,19,SVCP,490,T,,1,1210.00,,,,,,0,2708
BATH CHUTE,16008419,6,0,SCB,08/02/2006,08:40,08/02/2006,08:55,LG,D10.RS,D,2,,5.0,M-,200,0,15,5825,5550,185,,30.00,,60.00,,25,,15,743583,4456115,74360.45590,743583,4456115,1,1.0,20,,31.3,,1.50,,752,,0.02,,5.8,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,57,,1,1,1,SVCP,510,T,1,1,, ,  ,          I,,,0,2601
BATH CHUTE,16008419,6,0,SCB,08/02/2006,08:40,08/02/2006,08:55,LG,D10.RS,D,2,,5.0,M-,200,0,15,5825,5550,185,,30.00,,60.00,,25,,15,743583,4456115,74360.45590,743583,4456115,1,1.0,20,,31.3,,1.50,,752,,0.02,,5.8,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,57,,1,1,10,SVCP,520,T,1,1,, ,  ,          I,,,0,2601
BANNER,16009501,6,0,SCB,08/10/2009,10:30,08/10/2009,10:45,LG,D8.RS,D,2,,5.0,M-,200,0,15,5573,5400,200,,27.00,,60.00,,25,,15,768683,4492015,76870.49180,768683,4492015,2,1.0,15,,27.0,,1.00,,757,,0.08,,6.8,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,93,,1,1,70,SVCP,360,T,,1,441.00,,,,,,0,2706
BIG LAKE,16010279,6,0,BWC-S,07/01/2011,10:39,07/01/2011,10:54,LG,D26.RS,D,1,,5.0,M-,200,0,15,4400,4485,195,,23.00,,60.00,,25,,15,759683,4482765,75970.48255,759683,4482765,2,1.0,48,,26.3,,2.00,,567,,0.08,,7.1,,,,,,,0,2,1,0,0,0,0,0,1,0,,0,,50,,1,1,16,SVCP,460,T,1,1,,,,,,,0,2708
MYERS DITCH,16010492,6,1,BWC-S,09/02/2011,12:03,09/02/2011,12:18,LG,F129A.RS,D,2,,5.0,M-,200,0,15,4689,4600,200,,23.00,,60.00,,25,,15,756583,4476265,75660.47605,756583,4476265,2,1.0,18,,30.3,,1.10,,548,,0.01,,3.5,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,63,,1,1,3,SVCP,490,T,1,4,,,,,,,0,2708
RM 80,16011559,6,0,MCB-U,09/16/2013,10:09,09/18/2013,09:31,LG,HL8.RS,HL,3,,5.0,M-,,47,22,,,,,,,,,,,15,711084,4425065,71110.42485,711084,4425065,2,1.0,21,,24.4,,1.50,,780,,0.08,,4.8,,,,,,,0,2,0,0,0,0,0,0,0,1,,0,,11,,1,1,10,SVCP,551,T,,1,1688.00,,,,,,0,2710
Peoria,16007912,6,2,TWZ,09/23/2004,08:26,09/23/2004,08:41,LG,I157.8V,D,3,,5.0,M-,200,0,15,4960,5000,200,,25.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,22,,22.7,,1.50,,684,,0.10,,5.6,,,,,,,0,4,1,0,0,1,0,0,0,0,,0,,120,,1,1,95,SVCP,724,T,,1,4147.00,,,,,,0,2401
RM 147,16012149,6,0,MCB-U,08/20/2015,09:47,08/20/2015,10:02,LG,D2.RS,D,2,,5.0,M-,200,0,15,5443,5535,205,,27.00,,60.00,,25,,15,775183,4494065,77520.49405,775183,4494065,2,1.0,15,,25.4,,1.40,,759,,0.18,,5.6,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,105,,1,1,3,SVCP,540,T,1,1,,,,,,,0,2713
BATH CHUTE,16013410,6,0,SCB,09/25/2017,09:12,09/25/2017,09:27,LG,D17.RS,D,3,,5.0,M-,200,0,15,5904,5760,180,,32.00,,60.00,,25,,15,743533,4455765,,743533,4455765,2,1.0,22,,27.2,,2.10,,823,,0.20,,5.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,117,,1,1,7,SVCP,588,T,,1,2290.00,,,,,,0,2715
MEYERS DITCH,16009347,6,1,BWC-S,08/29/2008,12:35,08/29/2008,12:50,LG,F50A.RS,D,2,,5.0,M-,200,0,15,5259,5270,170,,31.00,,60.00,,25,,15,755883,4475365,75590.47515,755883,4475365,2,2.0,18,,27.3,,0.70,,694,,0.00,,4.5,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,145,,1,1,124,SVCP,180,T,1,1,,,,,,,0,2704
BANNER,16009501,6,0,SCB,08/10/2009,10:30,08/10/2009,10:45,LG,D8.RS,D,2,,5.0,M-,200,0,15,5573,5400,200,,27.00,,60.00,,25,,15,768683,4492015,76870.49180,768683,4492015,2,1.0,15,,27.0,,1.00,,757,,0.08,,6.8,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,93,,1,1,67,SVCP,382,T,,1,550.00,,,,,,0,2706
BATH CHUTE,16010873,6,0,SCB,10/01/2012,08:57,10/01/2012,09:12,LG,D19.RS,D,3,,5.0,M-,200,0,15,5298,5280,220,,24.00,,60.00,,25,,15,738033,4448715,73805.44850,738033,4448715,2,1.0,20,,18.8,,2.20,,823,,0.13,,9.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,30,,1,1,8,SVCP,532,T,,1,1501.00,,,,,,0,2709
BATH CHUTE,16011269,6,1,SCB,08/22/2013,11:55,08/22/2013,12:10,LG,C30A.RS,D,2,,5.0,M-,200,0,15,6062,6090,210,,29.00,,60.00,,25,,15,743583,4455965,74360.45575,743582,4455965,2,1.0,24,,28.6,,1.60,,824,,0.09,,4.7,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,94,,1,1,4,SVCP,540,T,1,2,,,,,,,0,2710
Peoria TWZ,16011704,6,2,TWZ,07/24/2014,09:45,07/24/2014,10:00,LG,I157.8Vb,D,1,,5.0,M-,200,0,15,5171,5060,230,,22.00,,60.00,,25,,16,277612,4500954,,785074,4503093,2,1.0,18,,26.0,,1.20,,689,,0.20,,6.0,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,29163,,1,2,237,SVCP,20,T,1,1603,,,,,,,0,2711
BATH CHUTE,16014526,6,0,SCB,08/26/2020,09:18,08/26/2020,09:33,LG,D22.RS,D,2,,5.0,M-,200,0,15,5612,5580,180,,31.00,,60.00,,25,,15,738583,4449615,,738583,4449615,2,1.0,18,,28.3,,2.00,,751,,0.18,,10.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,80,,1,1,3,SVCP,590,T,1,1,, ,  ,    M,,,0,2718
Peoria TWZ,16009259,6,2,TWZ,07/10/2008,09:57,07/11/2008,10:51,LG,I157.8Vb,M,1,,5.0,M-,,24,54,,,,,,,,,,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,15,,29.7,,1.00,,815,,0.01,,3.4,,,,,,,0,1,0,0,0,1,0,0,0,0,,0,,70286,,1,1,173,SVCP,40,T,1,5,,,,,,,0,2704
BELOW HAVANA,16011110,6,0,MCB-U,08/20/2012,14:20,08/20/2012,14:35,LG,D8.RS,D,2,,5.0,M-,200,0,15,6252,6200,200,,31.00,,60.00,,25,,15,748083,4462865,74810.46265,748083,4462865,2,1.0,25,,26.7,,1.80,,892,,0.04,,5.8,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,49,,1,2,4,SVCP,520,T,1,1,,,,,,,0,2709
MATANZAS,16008997,6,1,BWC-S,10/04/2007,09:40,10/04/2007,09:55,LG,F357A.RS,D,3,,5.0,M-,200,0,15,4194,4000,200,,20.00,,60.00,,25,,15,745683,4458665,74570.45845,745683,4458665,2,2.0,17,,20.7,,0.50,,534,,0.00,,14.6,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,98,,1,1,1,SVCP,656,T,,1,3442.00,,,,,,0,2701
Bath Fixed,16011715,6,2,SCB,08/07/2014,08:07,08/08/2014,09:03,LG,I113.0Ta,M,2,,5.0,M-,,24,56,,,,,,,,,,,15,743477,4455118,,743477,4455118,2,1.0,21,,26.1,,0.80,,714,,0.28,,3.6,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1392,,1,1,49,SVCP,30,T,1,1,,,,,,,0,2711
PEORIA TWZ,16005978,6,2,TWZ,10/25/2000,19:00,10/25/2000,19:15,LG,I157.8V,N,3,,5.0,M-,200,0,15,4700,4680,180,,26.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,1,0.2,,5,19.5,,1.50,,671,,0.08,,9.5,,,5,,,,0,4,1,0,0,1,0,0,0,0,,0,8,379,470,7,1,7,SVCP,140,,1,1,,,,,470,19,0,2003
BATH CHUTE,16006416,6,2,SCB,09/06/2001,19:00,09/06/2001,19:15,LG,I113.0T,N,2,,5.0,M-,200,0,15,5761,5600,160,,35.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,1,0.1,,5,26.6,,1.20,,822,,0.12,,6.1,,6.2,,,,,0,4,1,0,0,0,0,0,0,0,,0,3,85,470,1,1,14,SVCP,440,,1,1,,,,,470,15,0,2102
BATH CHUTE,16006836,6,0,SCB,08/02/2002,09:00,08/02/2002,09:15,LG,D16.RS,D,2,,5.0,M-,250,0,15,5600,5400,180,,30.00,,60.00,,25,,15,741083,4450615,74110.45040,741083,4450615,2,0.1,16,,28.9,,2.00,,725,,0.03,,3.2,,6.1,,,,,0,1,1,0,0,0,0,0,0,0,,0,3,821,490,2,1,7,SVCP,450,,1,1,,,,,490,51,0,2203
CAT DITCH,16007805,6,1,BWC-S,08/12/2004,10:14,08/12/2004,10:29,LG,F53A.RS,D,2,,5.0,M-,200,0,15,5415,5400,180,,30.00,,60.00,,25,,15,775133,4494315,77515.49410,775133,4494315,1,1.0,21,,23.3,,0.80,,783,,0.00,,7.5,,,,,,,0,4,0,0,0,1,0,0,0,1,,0,,247,,1,1,143,SVCP,330,T,1,1,,,,,,,0,2401
BATHE CHUTE,16008186,6,0,SCB,08/03/2005,09:25,08/03/2005,09:40,LG,D14.RS,D,2,,5.0,M-,200,0,15,6355,5950,170,,35.00,,60.00,,25,,15,743483,4455665,74350.45545,743483,4455665,2,1.0,28,,28.9,,1.00,,880,,0.05,,7.0,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,72,,1,1,46,SVCP,470,T,1,1,, ,  ,          I,,,0,2501
INGRAM LK MC,16009947,6,0,MCB-U,09/22/2010,11:03,09/22/2010,11:18,LG,D34.RS,D,3,,5.0,M-,200,0,15,5281,5250,210,,25.00,,60.00,,25,,15,734683,4448415,73470.44820,734683,4448415,2,1.0,20,,23.1,,2.00,,754,,0.10,,6.3,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,36,,1,1,22,SVCP,476,T,,1,964.00,,,,,,0,2707
